Hash	Files	Lines Added	Lines Removed	Bugs Induced	Bugs Contributed	Bugs Fixed	Positive Sentiment	Negative Sentiment	Code Score
63a8bc92554a838446bc33307cf08c38fa6fc0f3	29	756	59	5	0	0	1	-1	-5.18
0ae70779bebf8bf7da38f5ea4438f08ab0458942	11	286	3	5	0	0	1	-1	-5.18
f350227c25edf1d3682ffa2030a2f1e37431a1e6	17	428	27	5	0	0	1	-1	-5.18
d6944f66fbc79a5867d9af1af5dafba300a32706	5	262	161	5	0	0	1	-1	-5.18
7376aa0e292c5df6ec7dd46bf0e399d93911348e	26	20	20	5	0	0	1	-1	-5.18
084b351ca7ab600c6d639b4a854a53276c04c3aa	0	0	0	5	0	0	0	0	-5.18
12b54b87e1d9e0bef19daa90cad53e324d251c2b	0	0	0	5	0	0	0	0	-5.18
8016aae4ac61152e2743744bc8d2c73c5178e24a	0	0	0	5	0	0	0	0	-5.18
649386e58e0b0cf663b1ebede5dcd912331b81fe	0	0	0	5	0	0	0	0	-5.18
c625d132feead6264f764cd9332abc53fe3ccb48	0	0	0	5	0	0	0	0	-5.18
806e33d67dea946a6a745074ae847bf4c302990a	9	144	58	6	4	0	1	-1	-5.016
7f5dc7ae4529eed56d4f5831bbe70d339108aef2	1	36	3	6	4	0	1	-1	-5.016
673a18c63745f5034e0567510af8a2c5239cf374	24	951	166	5	1	0	1	-2	-4.88
496bd9ce579b84eda251994350117a067b6f3636	4	48	5	5	1	0	1	-1	-4.88
f0d6e9204045a20cdf6ce494e01989b249631cad	3	39	78	9	15	0	1	-1	-4.824
853da6b65b53623db22cdd268aa2f8bb91613587	2	9	8	7	0	1	1	-1	-4.752
81bdb4be8ef8853f1670ad2ab8f86c872e7346c7	0	0	0	6	5	0	0	0	-4.716
0b4cefeceb03a772cdccd3229c6dcdbc7177f0e8	3	171	3	5	2	0	1	-1	-4.58
62f66f899c95ccdfdc7a5d3346240988b42a9aad	3	165	114	5	3	0	1	-1	-4.28
f80b714f17aa4da661bdfc2a255e95a36e72dfb9	5	16	40	5	3	0	1	-1	-4.28
469ed7342b1457329ad7131f83a3ad6172107dfa	14	35	22	5	3	0	3	-3	-4.28
7145b9b9d173a5407179db896a6c0ab3da59faa7	0	0	0	5	3	0	0	0	-4.28
d84eca4510f2b259273571ebcc46387f2e88944f	4	92	2	4	0	0	1	-1	-4.144
4895eaafca468b7f0f1a3166b2fca7414f0d5da5	11	859	22	4	0	0	1	-1	-4.144
5afdade7bba5184a25dce3a8b1fbda6580a63830	4	50	6	4	0	0	1	-1	-4.144
5e39f687fba0f47fa17a4ba15ae20f364868acae	4	32	5	4	0	0	1	-1	-4.144
843d2387234080efc2fa86acdd52b3053cbd08dd	7	432	16	4	0	0	1	-1	-4.144
18833611b1eaf0ee3874f7247b6f41bc0fc95e37	7	353	5	4	0	0	1	-1	-4.144
a28dc6c3e94eba40ddac17e093d9327d435848f2	2	9	0	4	0	0	1	-1	-4.144
1e124eb36c8cad571d99ccbce9462cf93ab10271	5	123	118	4	0	0	1	-1	-4.144
3ee6a384849ed65c7fd1a0c7befee8491b6c72b2	4	588	0	4	0	0	1	-1	-4.144
dc4c44c5e637e6898970a78e81595127e862fd01	3	44	32	4	0	0	1	-1	-4.144
89f76a6501ab9ed48eb8fb0292c69794d63028e5	6	136	45	4	0	0	1	-1	-4.144
324881178c321dccf05c12dae39567c713d9eb11	1	6	1	4	0	0	1	-1	-4.144
682f88a85611444eb1d75e6ebcc2997ed3aa2791	8	108	94	4	0	0	1	-2	-4.144
356fdbec0dd91fe2c794dd016667278d7f178fae	5	81	48	4	0	0	1	-1	-4.144
c2f46f34383a9971df021c43e40604f500b6bdc1	1	21	8	4	0	0	1	-1	-4.144
12ef4910be71d4d2e206d3d596a180510ed41f94	2	94	4	4	0	0	1	-1	-4.144
63cf2828bf85d51e46abad0b32d006c57e2888c7	10	278	35	4	0	0	1	-1	-4.144
ad1c0a0b1be29c6c2931cfdf2cd0faa357733461	4	109	1	4	0	0	1	-1	-4.144
18ed966772e896d7d57d78b0938d0cc2794da4fd	34	625	140	4	0	0	1	-1	-4.144
8614d5e954c0316ace799227a793916a99d0ed5e	3	24	6	4	0	0	1	-1	-4.144
e1c25beacc7ffd617810fb4365edab9ee56af86b	9	108	71	4	0	0	1	-1	-4.144
f1086984fb6e2275d3ef639378d6f3137f5f649e	9	207	2	4	0	0	1	-1	-4.144
d7a4e08a9de44cdb29a171786346927f71020a1f	6	141	0	4	0	0	1	-1	-4.144
42a3b57e9d50e9ef4f2dff87ef39ae91f55411bb	1	25	0	4	0	0	1	-1	-4.144
40e9dd70f41ee2e5e9def99e4a8e0754abff4f43	4	85	12	4	0	0	1	-1	-4.144
47f70c0f595864274993401300924347b9307641	2	58	2	4	0	0	1	-1	-4.144
9f19ae91f7611344268390470f22515fdadc5c71	67	536	460	4	0	0	1	-1	-4.144
4a2372fe70f7274d64cd9354c957447305bd598f	0	0	0	4	0	0	0	0	-4.144
a5dbbae42a993e7f8183994b68f7ed76efff8dfc	0	0	0	4	0	0	0	0	-4.144
4c5060264ad096f5fddc0e1e4e1fa5c447fd8659	0	0	0	4	0	0	0	0	-4.144
cf18b5dd908436dd3567b988e20f235ec22dd153	0	0	0	4	0	0	0	0	-4.144
b9e80b7d490ab2819529beae817a825d0ee833d4	0	0	0	4	0	0	0	0	-4.144
65a06878e66850a37fbf487e60bc0b3e1f8aef58	0	0	0	4	0	0	0	0	-4.144
5fad57744bb4f6ef51fa6865a0bf73e9bbc426c0	0	0	0	4	0	0	0	0	-4.144
2da1149196e3ac58b0dc0966660dc3122af7db08	0	0	0	4	0	0	0	0	-4.144
3f6e336ebdc3de1b6e612b46a5354ed170c33ce1	0	0	0	6	7	0	0	0	-4.116
07f0405f2ac0ef744cd541c99418ce15f7d08834	23	703	107	12	28	0	1	-2	-4.032
8f6fda00525e5d0bf629703e18f63538f966bac9	9	98	22	4	1	0	1	-1	-3.844
600b1f075ab6b9425aa3507347ff8fc5d0571010	64	45	118	4	1	0	1	-1	-3.844
1047cd9ed98c9ab8abf1e85a212a939e3a636091	31	270	25	4	1	0	1	-1	-3.844
0518a290596fdb9fca5b63e5782a6d38c6182d5d	2	97	0	4	1	0	1	-1	-3.844
0fb0e45f75cbeb16c52a91e0a14a87696275c8dc	3	84	23	4	1	0	1	-1	-3.844
ed5f74541add5205683ee28c11643896f1f332a2	12	520	323	4	1	0	1	-1	-3.844
d652291815c2c4d4424e0b704f8c64fc1ad74abe	14	246	46	4	1	0	1	-1	-3.844
2fd533586b77760597649a764746590405b76711	2	19	448	4	1	0	1	-1	-3.844
f1d67aa0202e87fce14000b125883e24b1a8d4eb	10	2481	6	4	1	0	1	-1	-3.844
903b4461d37170ccda49ce6637adf7cf4a261b93	17	831	65	4	1	0	1	-1	-3.844
